C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p
5.0,69.0,4.55,8.28,1.4505494505494505,9.73054945054945,6.829450549450549,0.24680253662680146,1,True,True,True,True,2.5,48.215215764839215,6.071991987626689,54.2872077524659,0.002769811539973079,0.0018516543316362205,0.0009181572083368584,0.0009258271658181103,0.002769811539973079,0.0046214658716092994,0.0018516543316362205,1.0,0.9944603769200538,1421.022654319525,False,9.95435292765562,physical_offset,1421.022654319525,11,2.5
5.0,69.0,4.5,8.28,1.4666666666666666,9.746666666666666,6.813333333333333,0.2617808637339246,1,True,True,True,True,2.5,48.215215764839215,5.906551331598878,54.12176709643809,0.002756901655392319,0.0018516881667187822,0.0009052134886735367,0.0009258440833593911,0.002756901655392319,0.004608589822111101,0.0018516881667187822,1.0,0.9944861966892153,1421.6857284116145,False,9.970470143772836,physical_offset,1421.6857284116145,12,2.5
4.95,71.0,4.7,8.606060606060604,1.1489361702127658,9.75499677627337,7.457124435847838,0.17541696590322425,1,True,True,True,True,2.5,48.38172616325387,5.387622615629043,53.769348778882915,0.0027038932535169927,0.001851686976701776,0.0008522062768152167,0.000925843488350888,0.0027038932535169927,0.004555580230218769,0.001851686976701776,1.0,0.994592213492966,1424.4564354955285,False,9.97880025337954,physical_offset,1424.4564354955285,13,2.5
4.95,71.0,4.65,8.606060606060604,1.161290322580645,9.76735092864125,7.444770283479959,0.1850235547296864,1,True,True,True,True,2.5,48.38172616325387,5.2454760043635265,53.6272021676174,0.002692801080715916,0.0018517160478046324,0.0008410850329112836,0.0009258580239023162,0.002692801080715916,0.004544517128520548,0.0018517160478046324,1.0,0.9946143978385681,1425.0275202790308,False,9.99115440574742,physical_offset,1425.0275202790308,14,2.5
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,2.5,49.06315892611661,4.538314400743957,53.601473326860564,0.002586403458505928,0.0018514214783149155,0.0007349819801910123,0.0009257107391574577,0.002586403458505928,0.004437824936820843,0.0018514214783149155,1.0,0.9948271930829882,1430.7023917361353,False,9.994554465248461,physical_offset,1430.7023917361353,15,2.5
4.95,72.0,4.55,8.727272727272727,1.054945054945055,9.782217782217781,7.672327672327672,0.20185485844348142,1,True,True,True,True,2.5,49.06315892611661,4.41599417281941,53.47915309893602,0.002576858404331743,0.0018514464946265657,0.0007254119097051773,0.0009257232473132828,0.002576858404331743,0.004428304898958309,0.0018514464946265657,1.0,0.9948462831913366,1431.1960195188565,False,10.006021259323951,physical_offset,1431.1960195188565,16,2.5
4.9,74.0,4.7,9.061224489795917,0.7659574468085105,9.827181936604427,8.295267042987406,0.12334903648645763,1,True,True,True,True,2.5,49.16227058686622,3.5917484104193584,52.75401899728558,0.0025050906846211442,0.0018515511860924534,0.0006535394985286908,0.0009257755930462267,0.0025050906846211442,0.004356641870713598,0.0018515511860924534,1.0,0.9949898186307577,1434.9400634893248,False,10.050985413710597,physical_offset,1434.9400634893248,17,2.5
4.9,74.0,4.65,9.061224489795917,0.7741935483870966,9.835418038183013,8.28703094140882,0.13666597484470586,1,True,True,True,True,2.5,49.16227058686622,3.4969840029090142,52.65925458977524,0.0024976959027537596,0.001851570566827691,0.0006461253359260686,0.0009257852834138455,0.0024976959027537596,0.004349266469581451,0.001851570566827691,1.0,0.9950046081944925,1435.323600763204,False,10.059221515289183,physical_offset,1435.323600763204,18,2.5
4.9,74.0,4.6,9.061224489795917,0.782608695652174,9.84383318544809,8.278615794143743,0.15337937967542026,1,True,True,True,True,2.5,49.16227058686622,3.4037358005579668,52.56600638742419,0.0024904194354172606,0.0018515896374763517,0.0006388297979409089,0.0009257948187381759,0.0024904194354172606,0.004342009072893612,0.0018515896374763517,1.0,0.9950191611291656,1435.7011001582655,False,10.06763666255426,physical_offset,1435.7011001582655,19,2.5
4.9,74.0,4.55,9.061224489795917,0.7912087912087912,9.852433281004709,8.270015698587125,0.17250484367178248,1,True,True,True,True,2.5,49.16227058686622,3.3119956296145565,52.47426621648078,0.002483260644786622,0.0018516083997100893,0.0006316522450765325,0.0009258041998550446,0.002483260644786622,0.004334869044496711,0.0018516083997100893,1.0,0.9950334787104267,1436.0725900030723,False,10.076236758110879,physical_offset,1436.0725900030723,20,2.5
