model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse,scope
raw_parameters,,0.1,A,0.0032442342940876274,0.0025861135218798424,1.841422888135366,all_parameterized
raw_parameters,,0.1,combined,,,1.4675837565285401,all_parameterized
raw_parameters,,0.3,R100,0.005592944365258275,0.0044414815002102705,1.0662542242040614,all_parameterized
raw_parameters,,0.3,A,0.0030678050785186263,0.002407535524781207,1.741281909946276,all_parameterized
raw_parameters,,0.3,combined,,,1.4037680670751687,all_parameterized
raw_parameters,,1.0,R100,0.005413110233912009,0.0040820220960215235,1.0319701531170842,all_parameterized
raw_parameters,,1.0,A,0.002767180431091688,0.0020606804178970634,1.5706477767955227,all_parameterized
raw_parameters,,1.0,combined,,,1.3013089649563034,all_parameterized
raw_parameters,,3.0,R100,0.005375562694841185,0.003697571128941414,1.0248119874840733,all_parameterized
raw_parameters,,3.0,A,0.002470785096670943,0.0018075986145055303,1.40241419584437,all_parameterized
raw_parameters,,3.0,combined,,,1.2136130916642216,all_parameterized
raw_parameters,,10.0,R100,0.00553747820581872,0.003805633444310006,1.0556800037326102,all_parameterized
raw_parameters,,10.0,A,0.0022095013999776556,0.0015626269857902768,1.2541099317952327,all_parameterized
raw_parameters,,10.0,combined,,,1.1548949677639215,all_parameterized
separate_phase_exposure,1.0,0.0,R100,0.029752011613672517,0.015589744903190315,5.672004938704889,all_parameterized
separate_phase_exposure,1.0,0.0,A,0.0032398857055933065,0.002378030234955006,1.8389546353340447,all_parameterized
separate_phase_exposure,1.0,0.0,combined,,,3.7554797870194667,all_parameterized
separate_phase_exposure,1.0,0.03,R100,0.008319218042817055,0.006866645105898699,1.5859985011345104,all_parameterized
separate_phase_exposure,1.0,0.03,A,0.0024042580895508275,0.0017974936656480122,1.3646535588233695,all_parameterized
separate_phase_exposure,1.0,0.03,combined,,,1.47532602997894,all_parameterized
separate_phase_exposure,1.0,0.1,R100,0.0072191981798948035,0.005717909460943029,1.376287703216523,all_parameterized
separate_phase_exposure,1.0,0.1,A,0.002333680673692358,0.001699332078252385,1.3245939154171944,all_parameterized
separate_phase_exposure,1.0,0.1,combined,,,1.3504408093168587,all_parameterized
separate_phase_exposure,1.0,0.3,R100,0.007106965507514648,0.005274362372959094,1.3548913593225276,all_parameterized
separate_phase_exposure,1.0,0.3,A,0.002281401303467907,0.001632767934572877,1.2949202173479617,all_parameterized
separate_phase_exposure,1.0,0.3,combined,,,1.3249057883352446,all_parameterized
separate_phase_exposure,1.0,1.0,R100,0.007037176626754166,0.005250301201414852,1.3415866160507068,all_parameterized
separate_phase_exposure,1.0,1.0,A,0.0022215468926114978,0.0015616035875322472,1.2609469367166237,all_parameterized
separate_phase_exposure,1.0,1.0,combined,,,1.3012667763836654,all_parameterized
separate_phase_exposure,1.0,3.0,R100,0.00685369526124143,0.005157955453278046,1.3066072262581088,all_parameterized
separate_phase_exposure,1.0,3.0,A,0.00216193394768018,0.0014993276614109214,1.2271107118096451,all_parameterized
separate_phase_exposure,1.0,3.0,combined,,,1.266858969033877,all_parameterized
separate_phase_exposure,1.0,10.0,R100,0.006488681389597015,0.004936508323816356,1.2370199825602244,all_parameterized
separate_phase_exposure,1.0,10.0,A,0.0020854647972967846,0.001411649998803881,1.1837069280543016,all_parameterized
separate_phase_exposure,1.0,10.0,combined,,,1.210363455307263,all_parameterized
summed_stress_benchmark,1.0,0.0,R100,0.02549618399035917,0.013136448830185854,4.860662310476789,all_parameterized
summed_stress_benchmark,1.0,0.0,A,0.00481255172840824,0.0028371884363330435,2.731597689839039,all_parameterized
summed_stress_benchmark,1.0,0.0,combined,,,3.796130000157914,all_parameterized
summed_stress_benchmark,1.0,0.03,R100,0.025388785607336734,0.013095921803373428,4.84018758873958,all_parameterized
