scope,response,iteration,predictor,standardized_beta
all_unadjusted,SOH_200,116,C1,0.4132755020667694
all_unadjusted,SOH_200,116,Q1,0.007998031697128982
all_unadjusted,SOH_200,116,C2,-0.6006198660003587
all_unadjusted,SOH_200,117,C1,0.5600153119144102
all_unadjusted,SOH_200,117,Q1,0.12779691070906496
all_unadjusted,SOH_200,117,C2,-0.49750151622351685
all_unadjusted,SOH_200,119,C1,0.69318972827192
all_unadjusted,SOH_200,119,Q1,0.5654925645546398
all_unadjusted,SOH_200,119,C2,-0.6248911248887601
all_unadjusted,SOH_200,120,C1,-0.11732745680180995
all_unadjusted,SOH_200,120,Q1,-0.5247971684246071
all_unadjusted,SOH_200,120,C2,-0.8153721082900831
all_unadjusted,SOH_200,121,C1,0.35466187573998215
all_unadjusted,SOH_200,121,Q1,-0.04855075924297686
all_unadjusted,SOH_200,121,C2,-0.8664426542875987
all_unadjusted,SOH_200,122,C1,-0.09167725245571978
all_unadjusted,SOH_200,122,Q1,-0.6663817805567991
all_unadjusted,SOH_200,122,C2,-1.3634655460114045
all_unadjusted,SOH_200,123,C1,-1.8640333003082814
all_unadjusted,SOH_200,123,Q1,-2.0828883367551683
all_unadjusted,SOH_200,123,C2,-0.4969325851010981
all_unadjusted,SOH_200,124,C1,1.090231113341735
all_unadjusted,SOH_200,124,Q1,0.6737342551542803
all_unadjusted,SOH_200,124,C2,0.14487153722149249
all_unadjusted,SOH_200,125,C1,0.05942448527058705
all_unadjusted,SOH_200,125,Q1,0.09268656017130533
all_unadjusted,SOH_200,125,C2,-0.4238053027163192
all_unadjusted,SOH_200,126,C1,0.5527687554919911
all_unadjusted,SOH_200,126,Q1,0.3375821005185803
all_unadjusted,SOH_200,126,C2,-0.1939789382364705
all_unadjusted,SOH_200,127,C1,-0.25335471988069935
all_unadjusted,SOH_200,127,Q1,-0.7409040910730196
all_unadjusted,SOH_200,127,C2,-1.4744363579107442
all_unadjusted,SOH_200,128,C1,0.22104939225647804
all_unadjusted,SOH_200,128,Q1,-0.0815756387150969
all_unadjusted,SOH_200,128,C2,-0.4815548350348874
all_unadjusted,SOH_200,129,C1,-1.1416420443345345
all_unadjusted,SOH_200,129,Q1,0.04256436108407857
all_unadjusted,SOH_200,129,C2,0.29620956372110674
all_unadjusted,SOH_200,130,C1,0.5000400766388491
all_unadjusted,SOH_200,130,Q1,0.3820909759399014
all_unadjusted,SOH_200,130,C2,-0.5528118981628061
all_unadjusted,SOH_200,131,C1,-0.8518449507450117
all_unadjusted,SOH_200,131,Q1,0.46807431548418815
all_unadjusted,SOH_200,131,C2,0.6428623802903415
all_unadjusted,SOH_200,132,C1,-1.2092416325372923
all_unadjusted,SOH_200,132,Q1,-11.979893960075024
all_unadjusted,SOH_200,132,C2,-11.626146896413239
all_unadjusted,SOH_200,133,C1,0.6051508400738499
all_unadjusted,SOH_200,133,Q1,0.26222320786815745
all_unadjusted,SOH_200,133,C2,-0.3780637035699307
all_unadjusted,SOH_200,135,C1,0.3509350480346929
all_unadjusted,SOH_200,135,Q1,0.0039032078327846387
all_unadjusted,SOH_200,135,C2,-0.8625286030269792
all_unadjusted,SOH_200,137,C1,-0.37183715601508666
all_unadjusted,SOH_200,137,Q1,0.727467190567803
all_unadjusted,SOH_200,137,C2,0.2615358906070875
all_unadjusted,SOH_200,138,C1,0.5243486912594483
all_unadjusted,SOH_200,138,Q1,0.06344682008057279
all_unadjusted,SOH_200,138,C2,-0.48426902257175036
all_unadjusted,SOH_200,139,C1,-0.428542572572058
all_unadjusted,SOH_200,139,Q1,-0.9650831442699559
all_unadjusted,SOH_200,139,C2,-0.8699695686911624
all_unadjusted,SOH_200,140,C1,0.19399723564084764
all_unadjusted,SOH_200,140,Q1,-0.1760018434792527
all_unadjusted,SOH_200,140,C2,-0.9441330542320882
all_unadjusted,SOH_200,142,C1,0.3657826862430004
all_unadjusted,SOH_200,142,Q1,0.07275762872417657
all_unadjusted,SOH_200,142,C2,-0.7844069818470287
all_unadjusted,SOH_200,144,C1,0.21643986981361438
all_unadjusted,SOH_200,144,Q1,-0.11381154621935946
all_unadjusted,SOH_200,144,C2,-0.9355828965199107
all_unadjusted,SOH_200,145,C1,0.49210369772854773
all_unadjusted,SOH_200,145,Q1,0.17222289876209163
all_unadjusted,SOH_200,145,C2,-0.44182857379240986
all_unadjusted,SOH_200,146,C1,0.9647320876866853
all_unadjusted,SOH_200,146,Q1,0.6215424083682379
all_unadjusted,SOH_200,146,C2,0.09105735501876272
all_unadjusted,SOH_200,147,C1,0.33660367656410906
all_unadjusted,SOH_200,147,Q1,0.2619942491505805
all_unadjusted,SOH_200,147,C2,-0.6475384522044741
all_unadjusted,SOH_200,148,C1,0.5918683495671833
all_unadjusted,SOH_200,148,Q1,0.11229945661922869
all_unadjusted,SOH_200,148,C2,-0.4201712117575185
all_unadjusted,SOH_200,149,C1,0.2896320024228171
all_unadjusted,SOH_200,149,Q1,0.28643043132284807
all_unadjusted,SOH_200,149,C2,-0.42152160891109003
all_unadjusted,SOH_200,150,C1,0.37261545961521997
all_unadjusted,SOH_200,150,Q1,0.2226975538118156
all_unadjusted,SOH_200,150,C2,-0.6977262987999221
all_unadjusted,SOH_200,151,C1,-0.09860597454044728
all_unadjusted,SOH_200,151,Q1,-0.8580146503396702
all_unadjusted,SOH_200,151,C2,-1.1904615529455762
all_unadjusted,SOH_200,152,C1,0.46894609016583266
all_unadjusted,SOH_200,152,Q1,0.3028740474467483
all_unadjusted,SOH_200,152,C2,-0.6753151548571477
all_unadjusted,SOH_200,153,C1,0.1590269842421138
all_unadjusted,SOH_200,153,Q1,0.13165650245341481
all_unadjusted,SOH_200,153,C2,-0.727374194762465
all_unadjusted,SOH_200,154,C1,0.22388732310134468
all_unadjusted,SOH_200,154,Q1,-0.3007264029215328
all_unadjusted,SOH_200,154,C2,-1.0916930212489793
all_unadjusted,SOH_200,155,C1,0.4240612909504929
all_unadjusted,SOH_200,155,Q1,0.02906197257444776
all_unadjusted,SOH_200,155,C2,-0.6060214767414255
all_unadjusted,SOH_200,156,C1,0.20431313652423505
all_unadjusted,SOH_200,156,Q1,-0.05899876932917934
all_unadjusted,SOH_200,156,C2,-0.9803556755833864
all_unadjusted,SOH_200,157,C1,3.0375669704244714
all_unadjusted,SOH_200,157,Q1,3.211871363513736
all_unadjusted,SOH_200,157,C2,-0.280347157274845
all_unadjusted,SOH_200,158,C1,1.9852097438220018
all_unadjusted,SOH_200,158,Q1,0.8887668744101798
all_unadjusted,SOH_200,158,C2,0.9259493532409389
all_unadjusted,SOH_200,159,C1,0.28894961740737024
all_unadjusted,SOH_200,159,Q1,0.1675557150436696
all_unadjusted,SOH_200,159,C2,-0.7032525762520311
all_unadjusted,SOH_200,161,C1,0.1833810872527365
all_unadjusted,SOH_200,161,Q1,0.39202941361826904
all_unadjusted,SOH_200,161,C2,-0.5568816819318391
all_unadjusted,SOH_200,162,C1,0.19339724533061295
all_unadjusted,SOH_200,162,Q1,0.2310836669368809
all_unadjusted,SOH_200,162,C2,-0.18554698875378012
all_unadjusted,SOH_200,163,C1,0.9893774161049564
all_unadjusted,SOH_200,163,Q1,0.6739489236955905
all_unadjusted,SOH_200,163,C2,0.15985624747445215
all_unadjusted,SOH_200,164,C1,1.4445821184443737
all_unadjusted,SOH_200,164,Q1,0.5221512346234707
all_unadjusted,SOH_200,164,C2,0.589218102696127
all_unadjusted,SOH_200,165,C1,-0.022876881248477532
all_unadjusted,SOH_200,165,Q1,-0.2980986184457063
all_unadjusted,SOH_200,165,C2,-0.6787101636807759
all_unadjusted,SOH_200,166,C1,0.5436629178887114
all_unadjusted,SOH_200,166,Q1,0.36258041800235147
all_unadjusted,SOH_200,166,C2,-0.5648339499914657
all_unadjusted,SOH_200,167,C1,0.49041435974150255
all_unadjusted,SOH_200,167,Q1,0.15942080771524447
all_unadjusted,SOH_200,167,C2,-0.6989108164672121
all_unadjusted,SOH_200,169,C1,0.03295735222748876
all_unadjusted,SOH_200,169,Q1,-0.41654496350332915
all_unadjusted,SOH_200,169,C2,-0.9856880883067232
all_unadjusted,SOH_200,170,C1,-0.4986483277370466
all_unadjusted,SOH_200,170,Q1,-0.4330580962723205
all_unadjusted,SOH_200,170,C2,-1.5880558465341341
all_unadjusted,SOH_200,171,C1,0.7813633696369571
all_unadjusted,SOH_200,171,Q1,1.1934543273978815
all_unadjusted,SOH_200,171,C2,-0.21875570705872624
